,origin,destination,count,delay_rate,avg_delay,avg_diff_flt,dep_arr_count
0,E91,KPHX,9,1.0,25.4375,2.366666666666667,27.0
1,KAGS,KCLT,15,0.4,8.686666666666667,0.38333333333333236,30.0
2,KATL,KBWI,12,0.625,6.60625,-7.166666666666664,327.0
3,KATL,KLAX,6,0.625,6.60625,3.5916666666666544,327.0
4,KATL,KMCO,21,0.625,6.60625,-12.523809523809527,327.0
5,KATL,KTPA,21,0.625,6.60625,2.790476190476191,327.0
6,KATY,KJMS,6,1.0,206.0,-6.841666666666665,9.0
7,KAUS,KPHX,6,0.6666666666666666,7.0,-1.1749999999999972,87.0
8,KBHM,KLAS,6,0.5,14.633333333333333,2.825000000000003,12.0
9,KBNA,KDTW,15,0.375,13.035416666666665,-1.396666666666667,39.0
10,KBNA,KTPA,6,0.375,13.035416666666665,5.5,39.0
11,KBOS,EGLL,36,0.9047619047619048,45.05226757369616,22.369444444444436,849.0
12,KBOS,EINN,36,0.9047619047619048,45.05226757369616,-104.14583333333334,849.0
13,KBOS,KATL,36,0.9047619047619048,45.05226757369616,2.4555555555555557,849.0
14,KBOS,KBWI,6,0.9047619047619048,45.05226757369616,-20.0,849.0
15,KBOS,KCLT,39,0.9047619047619048,45.05226757369616,0.9102564102564099,849.0
16,KBOS,KEWR,27,0.9047619047619048,45.05226757369616,3.957407407407407,849.0
17,KBOS,KJFK,69,0.9047619047619048,45.05226757369616,-8.194202898550724,849.0
18,KBOS,KSEA,99,0.9047619047619048,45.05226757369616,4.841414141414141,849.0
19,KBOS,KTPA,36,0.9047619047619048,45.05226757369616,-9.395833333333334,849.0
20,KBOS,LFPG,54,0.9047619047619048,45.05226757369616,0.24629629629630603,849.0
21,KBRO,KIAH,15,0.4,7.1066666666666665,-1.75,15.0
22,KBTP,KBWI,6,1.0,30.94444444444445,0.8999999999999986,36.0
23,KBTP,KTEB,6,1.0,30.94444444444445,14.049999999999995,36.0
24,KBTP,KTPA,6,1.0,30.94444444444445,3.7833333333333314,36.0
25,KBTR,KIAH,24,0.5,26.625,13.952083333333334,60.0
26,KBUF,KMDW,6,0.0,0.0,-0.2916666666666643,18.0
27,KBUR,KLAS,6,0.8,4.966666666666667,-2.033333333333335,24.0
28,KBUR,KOAK,9,0.8,4.966666666666667,4.972222222222221,24.0
29,KBWI,KATL,78,0.7051282051282052,21.733440170940188,-9.138461538461542,603.0
30,KBWI,KBHM,6,0.7051282051282052,21.733440170940188,-2.0250000000000004,603.0
31,KBWI,KBNA,6,0.7051282051282052,21.733440170940188,-3.1583333333333314,603.0
32,KBWI,KBOS,105,0.7051282051282052,21.733440170940188,-6.178571428571429,603.0
33,KBWI,KBTP,6,0.7051282051282052,21.733440170940188,1.2833333333333314,603.0
34,KBWI,KCLE,6,0.7051282051282052,21.733440170940188,0.9666666666666686,603.0
35,KBWI,KCLT,12,0.7051282051282052,21.733440170940188,-9.366666666666665,603.0
36,KBWI,KDAL,12,0.7051282051282052,21.733440170940188,-3.2833333333333314,603.0
37,KBWI,KFLL,63,0.7051282051282052,21.733440170940188,-14.273015873015868,603.0
38,KBWI,KMEM,24,0.7051282051282052,21.733440170940188,-1.8166666666666664,603.0
39,KBWI,KMKE,12,0.7051282051282052,21.733440170940188,2.3583333333333343,603.0
40,KBWI,KMSP,24,0.7051282051282052,21.733440170940188,0.6708333333333418,603.0
41,KBWI,KPHX,6,0.7051282051282052,21.733440170940188,0.6999999999999886,603.0
42,KBWI,KRDU,12,0.7051282051282052,21.733440170940188,-6.233333333333334,603.0
43,KBWI,KRSW,24,0.7051282051282052,21.733440170940188,-7.158333333333334,603.0
44,KBWI,KSDF,12,0.7051282051282052,21.733440170940188,-0.9750000000000014,603.0
45,KBWI,KSJC,6,0.7051282051282052,21.733440170940188,-11.683333333333335,603.0
46,KCLT,EDDM,36,0.8940397350993378,32.61070640176598,7.661111111111107,711.0
47,KCLT,KAGS,15,0.8940397350993378,32.61070640176598,-11.746666666666666,711.0
48,KCLT,KBOS,39,0.8940397350993378,32.61070640176598,1.320512820512821,711.0
49,KCLT,KBTR,36,0.8940397350993378,32.61070640176598,-11.776388888888885,711.0
50,KCLT,KDTW,12,0.8940397350993378,32.61070640176598,0.40833333333333144,711.0
51,KCLT,KEWR,39,0.8940397350993378,32.61070640176598,1.6089743589743613,711.0
